companyId,Name,Market Capitalization,Close Price,Industry,Price To Earnings,Price To Sales,Revenue,Revenue Growth TTM,PAT Growth TTM,Price To Earnings Median 5 Years,PEG,Price To Earnings Median 3 Years,Industry PE Median,Industry PS Median,EV To EBITDA,CFO To PAT,Debt To Equity,Days Receivable,Days Receivable 3 Years Back,EMA 40W,Returns Vs Industry 1Y,Returns Vs Industry 3Y,CWIP,Debt,Debt 3 Years Back,Operating Cash Flow,Operating Cash Flow 1 Year Back,EPS,PAT Growth QoQ,PAT Growth YoY,PAT Growth 3 Years,EPS Growth QoQ,EPS Growth YoY,EPS Growth 3 Years,EPS Growth 5 Years,Promoter Holdings,DII Holdings,FII Holdings,Change In DII Holdings 1 Year,Change In DII Holdings 3 Years,Change In FII Holdings 1 Year,Change In FII Holdings 3 Years,Change In Promoter Holdings 1 Year,Change In Promoter Holdings 3 Years,Equity Shares,Fixed Assets,Fixed Assets 3 Years Back,Insider Trading,Bulk Block Deals,EMA 20D,EMA 50D,Nifty 500 Returns 3Y,Nifty 500 Returns 1Y,Nifty 500 Returns 5Y,PAT,PAT 1 Year Back,PAT 3 Years Back,PAT Latest Quarter,Pledged Percentage 1 Year Back,Change In Promoter Holdings Latest Quarter
NSE:DIVISLAB,Divis Laboratories Ltd,254186.17,9575,Pharma - API & CRAMS,86.88,22.63,11230,16.35,26.84,66.44,0,70.85,57.14,7.67,60.04,106.62,0,103.14,84.23,7183.2,27.15,2.8,2113,7,3.26,2738,1653,110.21,20.11,65.5,22.27,19.92,65.69,12.09,5.3,51.88,19.38,20.2,0.33,-1.86,0.46,5.5,0,-0.05,265468580,6528,4722,-16.02,null,8918.67,8244.72,32.14,1,56.1,2925,2568,1600,902,0,0
NSE:MOTHERSON,Samvardhana Motherson International Ltd,172934.54,163.85,Auto Ancillaries - Diversified,39.48,1.32,131135.44,14.02,24.64,36.56,0.96,34.85,35.27,1.97,14.4,276.19,0.46,57.54,39.48,137.81,48,11.62,4094.2,19169.7,13792.3,11284,6286.2,4.15,-31.12,77.48,14.69,-30.99,100,35.54,24.78,48.6,20.65,12.87,-0.09,5.73,0.25,2.03,0,-16.17,10554442601,38576.04,23202.57,0,null,163.73,157.38,32.14,1,56.1,4555.12,4085.6,3019.6,1075.66,1.93,0
NSE:PAYTM,One 97 Communications Ltd,107148.51,1670,E-Commerce - Platform - Utility,164.37,11.95,8967,22.55,116.33,193.98,9.22,193.98,35.24,6.18,148.01,-134.6,0.01,51.31,56.54,1277.83,18.69,1.29,11,172,223.3,-743,-121,10.16,20.22,78.86,34.92,19.86,79.17,32.4,18.22,0,24.87,48.08,9.04,21.33,-6.79,-24.03,0,0,641607824,910,1213,null,2948.94,1615.31,1483.8,32.14,1,56.1,649,552,-1422.4,220,null,0
NSE:COFORGE,Coforge Ltd,86380.73,1950,IT - Software,39.61,4.75,18195.4,35.68,66.51,48.51,1.81,55.58,20.68,2.59,25.67,107,0.08,88.34,73.46,1585.38,31.38,14.97,3.3,727.8,562.2,1791.7,1237.1,49.23,-20.19,49.19,31.26,-32.31,30.31,26.85,25.46,0,42.62,24.31,-9.7,5.9,-13.11,-0.47,0,-26.63,442978090,6759.5,2311.9,null,null,1894.29,1752.49,32.14,1,56.1,1920,1674.5,848.9,531.7,null,0
NSE:MCX,Multi Commodity Exchange of India Ltd,85218.27,3342,Exchanges,55.28,32.39,2630.79,110.21,136.36,56.52,0.91,68.79,50.13,25.83,42.65,227.91,0,10.14,10.41,2667.76,70.36,8.16,30.61,4.76,1.55,3034.72,950.13,60.46,-21.96,103.47,164.72,-21.99,103.39,107.44,42.62,0,50.81,29.84,-8.28,-4.25,8.16,5.01,0,0,254991845,419.43,266.84,null,null,3179.94,3022.09,32.14,1,56.1,1541.8,1331.55,83.11,413.44,null,0
NSE:WELCORP,Welspun Corp Ltd,68585.57,2599.5,DI Pipes/Saw Pipes,29.68,3.96,17299.77,20.21,15.76,13.64,0.76,13.59,35.64,1.06,28.18,197.74,0.26,37.41,42.66,1451.97,187.82,82.89,1241.41,2355.45,3361.75,3204.28,1503.67,87.59,182.1,200.11,26.86,182.62,197.9,97.82,15.79,49.73,19.95,14.61,-0.77,4.56,2.48,6.84,-0.11,-0.26,263790645,6544.64,4909.98,null,1433.45,2316.51,1987.61,32.14,1,56.1,2319.21,1620.49,1136,1047.88,0,0
NSE:MOTILALOFS,Motilal Oswal Financial Services Ltd,63334.29,1051.5,Finance - Capital Markets - Wealth Management,31.94,6.29,10062.73,14.85,-28.67,13.96,0,19.34,34.29,8.47,17.05,-325.43,1.65,158.01,89.92,887.15,-9.96,0,115.14,21255.11,10277.62,-6070.7,1214.73,32.92,681.31,10.2,-5.94,673.17,9.08,25.56,7.76,67.2,6.78,6.86,1.34,0.67,-0.43,0.45,-0.6,-2.46,602323233,768.67,465.81,null,null,998.92,954.06,32.14,1,56.1,1983.33,1865.43,2445.62,1273.71,0,-0.33
NSE:GLAND,Gland Pharma Ltd,48830.13,2959.3,Pharma - API & CRAMS,43.21,7.26,6725.3,17.57,46.55,38.31,0,38.44,57.14,7.67,25.87,100.4,0.03,107.35,87.75,2242.34,29.32,-12.8,342.18,283.59,4.45,1031.39,914.73,68.51,-13.56,47.09,13.48,-13.61,47.02,9.54,-0.23,51.77,30.44,8.74,-2.41,7.06,1.35,5.94,-0.06,-6.09,164966661,4492.33,1570.54,null,3724.28,2852.96,2675.52,32.14,1,56.1,1128.8,1027.32,772.46,316.96,0,-0.06
NSE:STLTECH,Sterlite Technologies Ltd,42428.51,824.7,Cables - Telecom,166.12,7.52,5642,36.18,457.35,43.17,15.7,32.82,23.46,1.25,48.38,932.14,0.91,82,96.03,435.56,531.33,84.85,19,1942,3834,522,348,4.97,233.9,1870,75.68,233.06,1915,-15.39,-12.02,42.29,13.27,19.71,1.93,11.27,12.97,12.56,-2.11,-11.76,513911242,2971,3246,-1.22,null,696.74,629.17,32.14,1,56.1,243,56,-71,197,0,-2.15
NSE:NH,Narayana Hrudayalaya Ltd,38824.47,1897.4,Hospitals,47.28,4.28,9072.4,59.61,3.91,36.22,2.49,34.49,52.6,6.35,23.84,200.03,1.29,30.31,34.81,1857.56,2.13,-3.33,291.94,5857.5,884.17,1621.19,985.78,40.18,-7.46,5.37,1.28,-7.44,5.37,9.94,125.78,63.27,9.06,9.4,0.97,-2.89,-1.06,-1.71,-0.58,-0.58,204360804,7820.93,2336.39,null,null,1891.88,1904.22,32.14,1,56.1,816.55,810.46,785.99,207.27,0,0
NSE:PWL,Physicswallah Ltd,36673.01,126.63,Platform - Education,1053.5,8.93,4106.41,32.53,104.88,0,0,0,546.73,5.95,93.99,-3447.41,0,7.66,6.43,117.06,null,null,4.95,10.5,956.15,833.24,506.9,0.12,-27.68,30.49,26.26,-3.85,41.3,25.87,null,71.27,13.11,12.02,null,null,null,null,null,null,2900886652,1833.01,null,null,549.73,122.98,123.22,32.14,1,56.1,14.56,-24.17,-1131.27,-88.28,null,-1.03
